Source,Target,Weight,Type
Oncology,"Radiology, Nuclear Medicine and Imaging",205,Undirected
Oncology,Molecular Biology,851,Undirected
Oncology,Biomedical Engineering,130,Undirected
Oncology,Electrical and Electronic Engineering,52,Undirected
Oncology,Microbiology,4,Undirected
Oncology,Molecular Medicine,12,Undirected
Oncology,Pathology and Forensic Medicine,240,Undirected
Oncology,Physiology,92,Undirected
Oncology,Genetics,280,Undirected
Oncology,Cancer Research,371,Undirected
Oncology,Surgery,346,Undirected
Oncology,Nutrition and Dietetics,15,Undirected
Oncology,Biotechnology,49,Undirected
Oncology,Rheumatology,52,Undirected
Oncology,"Pediatrics, Perinatology and Child Health",60,Undirected
Oncology,Infectious Diseases,70,Undirected
Oncology,Economics and Econometrics,52,Undirected
Oncology,Neurology,82,Undirected
Oncology,Clinical Biochemistry,5,Undirected
Oncology,Pharmacology,34,Undirected
Oncology,"Public Health, Environmental and Occupational Health",112,Undirected
Oncology,Cell Biology,63,Undirected
Oncology,Orthopedics and Sports Medicine,24,Undirected
Oncology,Endocrine and Autonomic Systems,6,Undirected
Oncology,Health Informatics,21,Undirected
Oncology,"Endocrinology, Diabetes and Metabolism",27,Undirected
Oncology,Otorhinolaryngology,36,Undirected
Oncology,Cardiology and Cardiovascular Medicine,45,Undirected
Oncology,Gastroenterology,12,Undirected
Oncology,Occupational Therapy,5,Undirected
Oncology,Hematology,115,Undirected
Oncology,Organic Chemistry,33,Undirected
Oncology,Transplantation,6,Undirected
Oncology,Obstetrics and Gynecology,15,Undirected
Oncology,Artificial Intelligence,42,Undirected
Oncology,Sociology and Political Science,15,Undirected
Oncology,Nephrology,13,Undirected
Oncology,Psychiatry and Mental health,36,Undirected
Oncology,Toxicology,3,Undirected
Oncology,Modeling and Simulation,13,Undirected
Oncology,Oral Surgery,6,Undirected
Oncology,Biochemistry,7,Undirected
Oncology,Anesthesiology and Pain Medicine,2,Undirected
Oncology,Geriatrics and Gerontology,28,Undirected
Oncology,Software,1,Undirected
Oncology,Cellular and Molecular Neuroscience,28,Undirected
Oncology,Inorganic Chemistry,20,Undirected
Oncology,Ophthalmology,5,Undirected
Oncology,Reproductive Medicine,26,Undirected
Oncology,Pharmacy,3,Undirected
Oncology,Spectroscopy,5,Undirected
Oncology,Biophysics,8,Undirected
Oncology,Structural Biology,2,Undirected
Oncology,Biomaterials,14,Undirected
Oncology,Emergency Medicine,8,Undirected
Oncology,"Electronic, Optical and Magnetic Materials",12,Undirected
Oncology,Clinical Psychology,13,Undirected
Oncology,Internal Medicine,4,Undirected
Oncology,Immunology and Allergy,9,Undirected
Oncology,Complementary and alternative medicine,4,Undirected
Oncology,Physical and Theoretical Chemistry,2,Undirected
Oncology,Materials Chemistry,11,Undirected
Oncology,Computational Theory and Mathematics,12,Undirected
Oncology,Rehabilitation,4,Undirected
Oncology,Statistics and Probability,2,Undirected
Oncology,Social Psychology,6,Undirected
Oncology,Emergency Medical Services,5,Undirected
Oncology,Critical Care and Intensive Care Medicine,1,Undirected
Oncology,Pharmaceutical Science,3,Undirected
Oncology,Organizational Behavior and Human Resource Management,1,Undirected
Oncology,Health,6,Undirected
Oncology,Ecology,3,Undirected
Oncology,Plant Science,6,Undirected
Oncology,Industrial and Manufacturing Engineering,1,Undirected
Oncology,Computer Vision and Pattern Recognition,5,Undirected
Oncology,Urology,2,Undirected
Oncology,Experimental and Cognitive Psychology,2,Undirected
Oncology,Environmental Chemistry,3,Undirected
Oncology,"Statistics, Probability and Uncertainty",1,Undirected
Oncology,Small Animals,3,Undirected
Oncology,Speech and Hearing,4,Undirected
Oncology,Periodontics,2,Undirected
Oncology,Health Information Management,2,Undirected
Oncology,Radiation,2,Undirected
Oncology,Virology,2,Undirected
Oncology,Food Science,1,Undirected
Oncology,"Renewable Energy, Sustainability and the Environment",3,Undirected
Oncology,Applied Psychology,2,Undirected
Oncology,Biological Psychiatry,2,Undirected
Oncology,Finance,1,Undirected
Oncology,"Atomic and Molecular Physics, and Optics",1,Undirected
Oncology,Gender Studies,2,Undirected
Oncology,Demography,1,Undirected
Oncology,Developmental Neuroscience,1,Undirected
Oncology,"Issues, ethics and legal aspects",1,Undirected
Oncology,Endocrinology,1,Undirected
Oncology,Analytical Chemistry,1,Undirected
Oncology,Aerospace Engineering,3,Undirected
Oncology,Information Systems,2,Undirected
Ecological Modeling,Paleontology,7,Undirected
Ecological Modeling,Ecology,116,Undirected
Ecological Modeling,Anthropology,1,Undirected
Ecological Modeling,"Ecology, Evolution, Behavior and Systematics",79,Undirected
Ecological Modeling,Nature and Landscape Conservation,78,Undirected
Ecological Modeling,Genetics,24,Undirected
Ecological Modeling,Economics and Econometrics,2,Undirected
Ecological Modeling,Global and Planetary Change,40,Undirected
Ecological Modeling,Plant Science,7,Undirected
Ecological Modeling,Social Psychology,13,Undirected
Ecological Modeling,Information Systems and Management,2,Undirected
Ecological Modeling,Information Systems,4,Undirected
Ecological Modeling,Geology,1,Undirected
Ecological Modeling,Conservation,1,Undirected
Ecological Modeling,"Public Health, Environmental and Occupational Health",6,Undirected
Ecological Modeling,Infectious Diseases,1,Undirected
Ecological Modeling,Molecular Biology,8,Undirected
Ecological Modeling,"Health, Toxicology and Mutagenesis",1,Undirected
Ecological Modeling,Atmospheric Science,7,Undirected
Ecological Modeling,General Health Professions,1,Undirected
Ecological Modeling,"Management, Monitoring, Policy and Law",4,Undirected
Ecological Modeling,Mechanical Engineering,4,Undirected
Ecological Modeling,Materials Chemistry,2,Undirected
Ecological Modeling,Insect Science,5,Undirected
Ecological Modeling,Geometry and Topology,1,Undirected
Ecological Modeling,Sociology and Political Science,2,Undirected
Ecological Modeling,Cell Biology,2,Undirected
Ecological Modeling,General Social Sciences,2,Undirected
Ecological Modeling,Environmental Engineering,4,Undirected
Ecological Modeling,Fluid Flow and Transfer Processes,1,Undirected
Ecological Modeling,Artificial Intelligence,4,Undirected
Ecological Modeling,Biophysics,1,Undirected
Ecological Modeling,Animal Science and Zoology,2,Undirected
Ecological Modeling,Oceanography,1,Undirected
Ecological Modeling,Aerospace Engineering,1,Undirected
Ecological Modeling,Mechanics of Materials,1,Undirected
Ecological Modeling,Media Technology,1,Undirected
Ecological Modeling,Soil Science,1,Undirected
Ecological Modeling,Astronomy and Astrophysics,1,Undirected
Paleontology,Ecology,29,Undirected
Paleontology,Atmospheric Science,43,Undirected
Paleontology,"Ecology, Evolution, Behavior and Systematics",17,Undirected
Paleontology,Nature and Landscape Conservation,24,Undirected
Paleontology,Genetics,23,Undirected
Paleontology,Archeology,20,Undirected
Paleontology,Molecular Biology,29,Undirected
Paleontology,Anthropology,33,Undirected
Paleontology,Astronomy and Astrophysics,9,Undirected
Paleontology,Global and Planetary Change,25,Undirected
Paleontology,Physiology,1,Undirected
Paleontology,Environmental Chemistry,10,Undirected
Paleontology,Plant Science,6,Undirected
Paleontology,Social Psychology,8,Undirected
Paleontology,Geophysics,20,Undirected
Paleontology,Geochemistry and Petrology,10,Undirected
Paleontology,Artificial Intelligence,4,Undirected
Paleontology,Space and Planetary Science,4,Undirected
Paleontology,Geometry and Topology,7,Undirected
Paleontology,Biomaterials,3,Undirected
Paleontology,Mechanics of Materials,6,Undirected
Paleontology,Oceanography,8,Undirected
Paleontology,Small Animals,1,Undirected
Paleontology,General Agricultural and Biological Sciences,1,Undirected
Paleontology,Biotechnology,4,Undirected
Paleontology,Earth-Surface Processes,4,Undirected
Paleontology,Endocrinology,2,Undirected
Paleontology,Cultural Studies,1,Undirected
Paleontology,Computer Vision and Pattern Recognition,1,Undirected
Paleontology,Animal Science and Zoology,1,Undirected
Paleontology,Geology,6,Undirected
Paleontology,"Geography, Planning and Development",4,Undirected
Paleontology,General Health Professions,1,Undirected
Paleontology,Developmental Biology,1,Undirected
Paleontology,Materials Chemistry,1,Undirected
Paleontology,"Renewable Energy, Sustainability and the Environment",1,Undirected
Paleontology,Aging,1,Undirected
Paleontology,Cellular and Molecular Neuroscience,1,Undirected
Paleontology,Biomedical Engineering,1,Undirected
Paleontology,Inorganic Chemistry,1,Undirected
Paleontology,Literature and Literary Theory,1,Undirected
Paleontology,Environmental Engineering,1,Undirected
Cognitive Neuroscience,"Radiology, Nuclear Medicine and Imaging",129,Undirected
Cognitive Neuroscience,Neurology,146,Undirected
Cognitive Neuroscience,Biomedical Engineering,118,Undirected
Cognitive Neuroscience,Polymers and Plastics,24,Undirected
Cognitive Neuroscience,Artificial Intelligence,95,Undirected
Cognitive Neuroscience,Cellular and Molecular Neuroscience,330,Undirected
Cognitive Neuroscience,Physiology,84,Undirected
Cognitive Neuroscience,Endocrine and Autonomic Systems,62,Undirected
Cognitive Neuroscience,Electrical and Electronic Engineering,93,Undirected
Cognitive Neuroscience,Statistical and Nonlinear Physics,22,Undirected
Cognitive Neuroscience,Molecular Biology,85,Undirected
Cognitive Neuroscience,Sensory Systems,63,Undirected
Cognitive Neuroscience,Education,30,Undirected
Cognitive Neuroscience,Clinical Psychology,110,Undirected
Cognitive Neuroscience,Experimental and Cognitive Psychology,237,Undirected
Cognitive Neuroscience,Psychiatry and Mental health,184,Undirected
Cognitive Neuroscience,"Pediatrics, Perinatology and Child Health",26,Undirected
Cognitive Neuroscience,Developmental and Educational Psychology,100,Undirected
Cognitive Neuroscience,Social Psychology,134,Undirected
Cognitive Neuroscience,Pharmacology,43,Undirected
Cognitive Neuroscience,Bioengineering,2,Undirected
Cognitive Neuroscience,Nutrition and Dietetics,4,Undirected
Cognitive Neuroscience,Sociology and Political Science,42,Undirected
Cognitive Neuroscience,History and Philosophy of Science,4,Undirected
Cognitive Neuroscience,Genetics,55,Undirected
Cognitive Neuroscience,Developmental Neuroscience,11,Undirected
Cognitive Neuroscience,Human-Computer Interaction,38,Undirected
Cognitive Neuroscience,Control and Systems Engineering,6,Undirected
Cognitive Neuroscience,Demography,6,Undirected
Cognitive Neuroscience,Safety Research,36,Undirected
Cognitive Neuroscience,Literature and Literary Theory,5,Undirected
Cognitive Neuroscience,Signal Processing,36,Undirected
Cognitive Neuroscience,Developmental Biology,11,Undirected
Cognitive Neuroscience,Biophysics,17,Undirected
Cognitive Neuroscience,Infectious Diseases,1,Undirected
Cognitive Neuroscience,Health,9,Undirected
Cognitive Neuroscience,Computer Vision and Pattern Recognition,34,Undirected
Cognitive Neuroscience,Cardiology and Cardiovascular Medicine,39,Undirected
Cognitive Neuroscience,"Health, Toxicology and Mutagenesis",27,Undirected
Cognitive Neuroscience,Plant Science,8,Undirected
Cognitive Neuroscience,Cell Biology,21,Undirected
Cognitive Neuroscience,Otorhinolaryngology,7,Undirected
Cognitive Neuroscience,Law,2,Undirected
Cognitive Neuroscience,"Public Health, Environmental and Occupational Health",25,Undirected
Cognitive Neuroscience,Pharmaceutical Science,1,Undirected
Cognitive Neuroscience,Philosophy,6,Undirected
Cognitive Neuroscience,Language and Linguistics,7,Undirected
Cognitive Neuroscience,Occupational Therapy,9,Undirected
Cognitive Neuroscience,Materials Chemistry,1,Undirected
Cognitive Neuroscience,Health Informatics,8,Undirected
Cognitive Neuroscience,Complementary and alternative medicine,7,Undirected
Cognitive Neuroscience,"Statistics, Probability and Uncertainty",3,Undirected
Cognitive Neuroscience,Behavioral Neuroscience,23,Undirected
Cognitive Neuroscience,Speech and Hearing,29,Undirected
Cognitive Neuroscience,"Atomic and Molecular Physics, and Optics",10,Undirected
Cognitive Neuroscience,Cultural Studies,8,Undirected
Cognitive Neuroscience,Aging,4,Undirected
Cognitive Neuroscience,Mechanical Engineering,16,Undirected
Cognitive Neuroscience,Anesthesiology and Pain Medicine,13,Undirected
Cognitive Neuroscience,Computational Theory and Mathematics,9,Undirected
Cognitive Neuroscience,Applied Psychology,10,Undirected
Cognitive Neuroscience,Computer Networks and Communications,5,Undirected
Cognitive Neuroscience,Nuclear and High Energy Physics,1,Undirected
Cognitive Neuroscience,Music,5,Undirected
Cognitive Neuroscience,Obstetrics and Gynecology,1,Undirected
Cognitive Neuroscience,Building and Construction,2,Undirected
Cognitive Neuroscience,Critical Care and Intensive Care Medicine,6,Undirected
Cognitive Neuroscience,"Physical Therapy, Sports Therapy and Rehabilitation",6,Undirected
Cognitive Neuroscience,"Ecology, Evolution, Behavior and Systematics",2,Undirected
Cognitive Neuroscience,Visual Arts and Performing Arts,3,Undirected
Cognitive Neuroscience,Aquatic Science,1,Undirected
Cognitive Neuroscience,General Health Professions,9,Undirected
Cognitive Neuroscience,Statistics and Probability,6,Undirected
Cognitive Neuroscience,Astronomy and Astrophysics,1,Undirected
Cognitive Neuroscience,Spectroscopy,1,Undirected
Cognitive Neuroscience,Political Science and International Relations,1,Undirected
Cognitive Neuroscience,Organic Chemistry,1,Undirected
Cognitive Neuroscience,Rehabilitation,5,Undirected
Cognitive Neuroscience,Computer Science Applications,2,Undirected
Cognitive Neuroscience,Information Systems,2,Undirected
Cognitive Neuroscience,Geology,3,Undirected
Cognitive Neuroscience,Automotive Engineering,3,Undirected
Cognitive Neuroscience,Media Technology,7,Undirected
Cognitive Neuroscience,Emergency Medicine,3,Undirected
Cognitive Neuroscience,Pathology and Forensic Medicine,4,Undirected
Cognitive Neuroscience,Instrumentation,1,Undirected
Cognitive Neuroscience,Ophthalmology,5,Undirected
Cognitive Neuroscience,Human Factors and Ergonomics,2,Undirected
Cognitive Neuroscience,Biological Psychiatry,10,Undirected
Cognitive Neuroscience,Marketing,2,Undirected
Cognitive Neuroscience,Information Systems and Management,7,Undirected
Cognitive Neuroscience,Nature and Landscape Conservation,1,Undirected
Cognitive Neuroscience,Surgery,15,Undirected
Cognitive Neuroscience,General Decision Sciences,8,Undirected
Cognitive Neuroscience,Pulmonary and Respiratory Medicine,6,Undirected
Cognitive Neuroscience,Orthopedics and Sports Medicine,3,Undirected
Cognitive Neuroscience,Organizational Behavior and Human Resource Management,2,Undirected
Cognitive Neuroscience,Conservation,2,Undirected
Cognitive Neuroscience,Complementary and Manual Therapy,1,Undirected
Cognitive Neuroscience,Strategy and Management,1,Undirected
Cognitive Neuroscience,Economics and Econometrics,5,Undirected
Cognitive Neuroscience,Anatomy,1,Undirected
Cognitive Neuroscience,Condensed Matter Physics,1,Undirected
Cognitive Neuroscience,Computer Graphics and Computer-Aided Design,1,Undirected
Cognitive Neuroscience,Global and Planetary Change,2,Undirected
Cognitive Neuroscience,Linguistics and Language,1,Undirected
Cognitive Neuroscience,Aerospace Engineering,2,Undirected
Cognitive Neuroscience,Neuropsychology and Physiological Psychology,4,Undirected
Cognitive Neuroscience,Civil and Structural Engineering,1,Undirected
Cognitive Neuroscience,Archeology,1,Undirected
Cognitive Neuroscience,Electrochemistry,1,Undirected
Cognitive Neuroscience,Geometry and Topology,2,Undirected
Cognitive Neuroscience,Immunology,1,Undirected
Cognitive Neuroscience,Toxicology,1,Undirected
Cognitive Neuroscience,Architecture,1,Undirected
Cognitive Neuroscience,Rheumatology,1,Undirected
Cognitive Neuroscience,Computational Mechanics,1,Undirected
Cognitive Neuroscience,Family Practice,1,Undirected
Cognitive Neuroscience,Ecology,1,Undirected
Cognitive Neuroscience,Food Science,1,Undirected
Cognitive Neuroscience,Cancer Research,1,Undirected
Cognitive Neuroscience,Transportation,1,Undirected
Cognitive Neuroscience,Management Science and Operations Research,1,Undirected
Cognitive Neuroscience,Mechanics of Materials,1,Undirected
Ecology,Water Science and Technology,41,Undirected
Ecology,"Ecology, Evolution, Behavior and Systematics",131,Undirected
Ecology,Oceanography,149,Undirected
Ecology,Nature and Landscape Conservation,153,Undirected
Ecology,Global and Planetary Change,314,Undirected
Ecology,Microbiology,22,Undirected
Ecology,Genetics,134,Undirected
Ecology,Parasitology,19,Undirected
Ecology,Cellular and Molecular Neuroscience,14,Undirected
Ecology,Soil Science,98,Undirected
Ecology,Anthropology,11,Undirected
Ecology,Plant Science,154,Undirected
Ecology,Molecular Biology,325,Undirected
Ecology,"Management, Monitoring, Policy and Law",58,Undirected
Ecology,Environmental Chemistry,73,Undirected
Ecology,Pollution,31,Undirected
Ecology,Biomedical Engineering,20,Undirected
Ecology,"Radiology, Nuclear Medicine and Imaging",17,Undirected
Ecology,Aerospace Engineering,5,Undirected
Ecology,Endocrinology,32,Undirected
Ecology,Biotechnology,19,Undirected
Ecology,Physiology,22,Undirected
Ecology,Sociology and Political Science,12,Undirected
Ecology,Environmental Engineering,88,Undirected
Ecology,Geochemistry and Petrology,9,Undirected
Ecology,General Agricultural and Biological Sciences,12,Undirected
Ecology,Immunology,22,Undirected
Ecology,Pharmaceutical Science,2,Undirected
Ecology,Atmospheric Science,88,Undirected
Ecology,"Public Health, Environmental and Occupational Health",59,Undirected
Ecology,Analytical Chemistry,17,Undirected
Ecology,Astronomy and Astrophysics,35,Undirected
Ecology,Electrical and Electronic Engineering,2,Undirected
Ecology,Artificial Intelligence,11,Undirected
Ecology,Archeology,3,Undirected
Ecology,Insect Science,33,Undirected
Ecology,Biomaterials,2,Undirected
Ecology,Earth-Surface Processes,55,Undirected
Ecology,Food Science,57,Undirected
Ecology,Animal Science and Zoology,21,Undirected
Ecology,Industrial and Manufacturing Engineering,13,Undirected
Ecology,History,1,Undirected
Ecology,"Electronic, Optical and Magnetic Materials",1,Undirected
Ecology,Developmental Biology,15,Undirected
Ecology,Social Psychology,18,Undirected
Ecology,"Atomic and Molecular Physics, and Optics",2,Undirected
Ecology,Spectroscopy,8,Undirected
Ecology,Building and Construction,3,Undirected
Ecology,Molecular Medicine,19,Undirected
Ecology,Computer Vision and Pattern Recognition,2,Undirected
Ecology,Catalysis,1,Undirected
Ecology,"Health, Toxicology and Mutagenesis",30,Undirected
Ecology,Orthopedics and Sports Medicine,1,Undirected
Ecology,Nutrition and Dietetics,11,Undirected
Ecology,Virology,6,Undirected
Ecology,Media Technology,17,Undirected
Ecology,Aging,7,Undirected
Ecology,Cancer Research,6,Undirected
Ecology,Civil and Structural Engineering,12,Undirected
Ecology,Structural Biology,1,Undirected
Ecology,Infectious Diseases,45,Undirected
Ecology,General Health Professions,9,Undirected
Ecology,Marketing,2,Undirected
Ecology,"Safety, Risk, Reliability and Quality",6,Undirected
Ecology,Materials Chemistry,5,Undirected
Ecology,Computational Mechanics,2,Undirected
Ecology,Organic Chemistry,5,Undirected
Ecology,Cardiology and Cardiovascular Medicine,4,Undirected
Ecology,Economics and Econometrics,8,Undirected
Ecology,Cell Biology,17,Undirected
Ecology,Business and International Management,1,Undirected
Ecology,Modeling and Simulation,1,Undirected
Ecology,Geometry and Topology,2,Undirected
Ecology,Aquatic Science,16,Undirected
Ecology,Experimental and Cognitive Psychology,1,Undirected
Ecology,Agronomy and Crop Science,17,Undirected
Ecology,"Renewable Energy, Sustainability and the Environment",8,Undirected
Ecology,Clinical Biochemistry,1,Undirected
Ecology,General Social Sciences,1,Undirected
Ecology,"Pediatrics, Perinatology and Child Health",1,Undirected
Ecology,"Endocrinology, Diabetes and Metabolism",1,Undirected
Ecology,Instrumentation,3,Undirected
Ecology,Small Animals,11,Undirected
Ecology,Inorganic Chemistry,2,Undirected
Ecology,Ocean Engineering,5,Undirected
Ecology,Hepatology,2,Undirected
Ecology,Biochemistry,3,Undirected
Ecology,Information Systems,2,Undirected
Ecology,Sensory Systems,3,Undirected
Ecology,Pharmacology,2,Undirected
Ecology,Rheumatology,1,Undirected
Ecology,Process Chemistry and Technology,3,Undirected
Ecology,Surgery,1,Undirected
Ecology,Mechanics of Materials,4,Undirected
Ecology,Information Systems and Management,1,Undirected
Ecology,Horticulture,1,Undirected
Ecology,Biophysics,1,Undirected
Ecology,Signal Processing,1,Undirected
Ecology,Computer Networks and Communications,1,Undirected
Ecology,Geology,1,Undirected
Ecology,"Geography, Planning and Development",4,Undirected
Ecology,Transportation,1,Undirected
Ecology,Statistical and Nonlinear Physics,1,Undirected
Ecology,Pulmonary and Respiratory Medicine,2,Undirected
Ecology,Strategy and Management,1,Undirected
Ecology,Radiation,3,Undirected
Ecology,Condensed Matter Physics,1,Undirected
Ecology,General Energy,1,Undirected
Ecology,Forestry,3,Undirected
Ecology,Applied Psychology,1,Undirected
Ecology,Statistics and Probability,1,Undirected
Ecology,Physical and Theoretical Chemistry,1,Undirected
Ecology,Cultural Studies,1,Undirected
Ecology,Complementary and alternative medicine,1,Undirected
Ecology,Endocrine and Autonomic Systems,1,Undirected
Ecology,Electrochemistry,1,Undirected
Ecology,Mechanical Engineering,2,Undirected
Water Science and Technology,Catalysis,4,Undirected
Water Science and Technology,"Renewable Energy, Sustainability and the Environment",90,Undirected
Water Science and Technology,Environmental Engineering,125,Undirected
Water Science and Technology,Global and Planetary Change,167,Undirected
Water Science and Technology,Industrial and Manufacturing Engineering,72,Undirected
Water Science and Technology,Geochemistry and Petrology,34,Undirected
Water Science and Technology,Ocean Engineering,53,Undirected
Water Science and Technology,Biomedical Engineering,142,Undirected
Water Science and Technology,Electrical and Electronic Engineering,54,Undirected
Water Science and Technology,Nature and Landscape Conservation,19,Undirected
Water Science and Technology,Environmental Chemistry,55,Undirected
Water Science and Technology,Mechanical Engineering,55,Undirected
Water Science and Technology,Analytical Chemistry,9,Undirected
Water Science and Technology,Atmospheric Science,42,Undirected
Water Science and Technology,Infectious Diseases,6,Undirected
Water Science and Technology,Endocrinology,4,Undirected
Water Science and Technology,Materials Chemistry,48,Undirected
Water Science and Technology,Artificial Intelligence,11,Undirected
Water Science and Technology,Plant Science,11,Undirected
Water Science and Technology,Oceanography,15,Undirected
Water Science and Technology,Inorganic Chemistry,19,Undirected
